proposed_asset_id	relative_path	bytes	sha256	producer_paths	producer_sha256s	data_ids	rights	qa_status
R011-ASSET-B005-2.1-001	loan50_amt_vs_income/loan50_amt_vs_income.pdf	7851	9bd56b89f84cbb24546114c8fb07687885a266e5d8fb7d338abbe0d51890302b	loan50_amt_vs_income/loan50_amt_vs_income.R	aab22adf82b464b2cc2f7c401a7c0046ebe56ec5e4004dd668f32800143e7bd3	openintro::loan50.total_income;openintro::loan50.loan_amount;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-002	medianHHIncomePoverty/medianHHIncomePoverty.pdf	197995	3c0e1084a100f991ccbce349b36d695aa415d1d11db0e2f21b06b284e878efe5	medianHHIncomePoverty/medianHHIncomePoverty.R	b5945536b4877b89de46306a94945c53e6d1e34bafcb678976bee68041c02021	openintro::county.poverty;openintro::county.median_hh_income;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-003	loan_int_rate_dot_plot/loan_int_rate_dot_plot.pdf	6223	14e891f8c9ab4290fc9bae7569a9ede7a86395bfc8620051aaae149b71138384	loan_int_rate_dot_plot/loan_int_rate_dot_plot.R	0e104c8f2f8bcb8d5f49ce6c6a38bdb56e9aa0b31b4dc76cd99f8457fc3a44d2	openintro::loan50.interest_rate;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-004	loan_int_rate_dot_plot/loan_int_rate_dot_plot_stacked.pdf	7061	589bba7a1ee93768a849f3d07ae51393023a6f4ad4fc4041c88239f552767f1d	loan_int_rate_dot_plot/loan_int_rate_dot_plot.R	0e104c8f2f8bcb8d5f49ce6c6a38bdb56e9aa0b31b4dc76cd99f8457fc3a44d2	openintro::loan50.interest_rate;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-005	loan50IntRateHist/loan50IntRateHist.pdf	4693	c12d2512a2603dc7e61c49fb9cc6c5dc5c8703b42253ce3e02907a319fb34a11	loan50IntRateHist/loan50IntRateHist.R	c06c81f58267fce45d11b369cd8e215feba4faf7da765b78be5702e728c82467	openintro::loan50.interest_rate;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-006	singleBiMultiModalPlots/singleBiMultiModalPlots.pdf	5372	5ec9121bd46bf1583aaaf67b1783c03b34b27f9c4aa292104190c0d1dbbfa9b1	singleBiMultiModalPlots/singleBiMultiModalPlots.R	2d094989872aa2e704e3b995e711114b396cbff10bfb71f93443979fdda09080	synthetic:set.seed(51);stats::rchisq;stats::rnorm;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-007	sdRuleForIntRate/sdRuleForIntRate.pdf	6653	8634692b06562fcc6e307e86bbd9524682ea92d147636d24503242cda68674ba	sdRuleForIntRate/sdRuleForIntRate.R	d9320e9f5a9dcaf72e2181cb6ac301a5c5b8c05848268a02e926b46db5eaa677	openintro::loan50.interest_rate;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-008	severalDiffDistWithSdOf1/severalDiffDistWithSdOf1.pdf	6924	9d12cbe2560f43394d67000841897ea961d8434b914ab0505284dc42c797448e	severalDiffDistWithSdOf1/severalDiffDistWithSdOf1.R	eb770f9fd72a54877c5ef479e9714b9b3792155991669edbe4478f2edaec8d51	synthetic:stats::qnorm;stats::qchisq;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-009	loan_int_rate_box_plot_layout/loan_int_rate_box_plot_layout.pdf	8156	51faccd338bcffaf7152f8370962ea9036b0e0efa15e4e432b73e9f5ab00524e	loan_int_rate_box_plot_layout/loan_int_rate_box_plot_layout.R	8865b02d5ba39f066908c75f64a126f2ffd261e395a8434140ac109fd3adbfa4	openintro::loan50.interest_rate;openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
R011-ASSET-B005-2.1-010	loan_int_rate_robust_ex/loan_int_rate_robust_ex.pdf	12329	e55fe7a9c70907eb6752430a3145e4eeae7a60c9dbb07eeae2456398daa4aff7	loan_int_rate_robust_ex/loan_int_rate_robust_ex.R	47d8d138e6a17734baf5d9b8159fd350348612b46093d66649e7bd4c22d1e9c9	openintro::loan50.interest_rate;synthetic:set.seed(16);openintro::COL	CC-BY-SA-3.0-repository-figure; external-package-input-provenance-retained; no-raw-package-data-redistributed	PASS
