token_or_class	files	locations	disposition	rationale
distribution!negative binomial	main	termsub and two index entries	RETAIN	Inherited English index taxonomy key; reader-facing term is translated.
LaTeX command and environment names	all	throughout	RETAIN	Non-reader-facing project syntax; command multiset matches authority.
label/ref IDs	main and EoCE	negativeBinomial; eachSeqOfSixTriesToGetFourSuccesses; successFailureOrdersForBriansFieldGoals; probOfEachSeqOfSixTriesToGetFourSuccesses; roll_die; play_darts; sampling_at_school; serving_volleyball	RETAIN	Stable identifiers required for cross-references.
ch_distributions/TeX/negative_binomial_distribution.tex	main	input path	RETAIN	Stable source include path.
Brian	main	worked narrative	RETAIN	Proper name.
field goal	main	worked narrative and equation text	RETAIN	Established American-football term retained as a transparent sports borrowing.
yard	main	35 yard measurement	RETAIN	Source measurement unit; numerical value is unchanged.
dart	EoCE 28	title and scenario	RETAIN	Conventional Indonesian sports borrowing; bull's eye and dart board were translated as pusat sasaran and papan dart.
S and F	main	inline table	RETAIN	Source symbolic outcome codes inside math are preserved; the Indonesian prose now explicitly defines S as sukses and F as gagal.
M and F	EoCE 29	three displayed scenarios	RETAIN	Source symbolic gender codes inside math are preserved; the Indonesian exercise now explicitly defines M as laki-laki and F as perempuan.
oiB and succObs	main	inline table macro	RETAIN	Non-reader-facing color and macro identifiers.
visible English prose	all	reader-facing headings, paragraphs, captions, exercises, and answers	NONE_FOUND	Targeted review found no untranslated English sentence or phrase beyond the retained items above.
