term_id,source_term,id_ID,scope,status,note
R011-TERM-0001,statistics,statistika,discipline,admitted,Use statistik for a computed statistic or contextual adjective when idiomatic
R011-TERM-0002,data,data,all,admitted,
R011-TERM-0003,treatment group,kelompok perlakuan,study design,admitted,
R011-TERM-0004,control group,kelompok kontrol,study design,admitted,
R011-TERM-0005,summary statistic,statistik ringkasan,descriptive statistics,admitted,
R011-TERM-0006,proportion,proporsi,all,admitted,
R011-TERM-0007,stroke,strok,medical context,admitted,Bentuk baku bahasa Indonesia
R011-TERM-0008,stent,stent,medical context,admitted,Retain established device term and explain at first use
R011-TERM-0009,case study,studi kasus,all,admitted,
R011-TERM-0010,guided practice,latihan terbimbing,pedagogy,admitted,
R011-TERM-0011,exercise,latihan,pedagogy,admitted,
R011-TERM-0012,solution,solusi,pedagogy,admitted,
R011-TERM-0013,case,kasus,data structure,admitted,
R011-TERM-0014,observational unit,unit observasi,data structure,admitted,
R011-TERM-0015,variable,variabel,data structure,admitted,
R011-TERM-0016,data matrix,matriks data,data structure,admitted,
R011-TERM-0017,numerical variable,variabel numerik,variable type,admitted,
R011-TERM-0018,discrete,diskret,variable type,admitted,
R011-TERM-0019,continuous,kontinu,variable type,admitted,
R011-TERM-0020,categorical variable,variabel kategoris,variable type,admitted,
R011-TERM-0021,level,level,categorical variable,admitted,Use for a possible category value as defined in the source
R011-TERM-0022,ordinal,ordinal,variable type,admitted,
R011-TERM-0023,nominal,nominal,variable type,admitted,
R011-TERM-0024,associated,berasosiasi,relationship,admitted,
R011-TERM-0025,positive association,asosiasi positif,relationship,admitted,
R011-TERM-0026,negative association,asosiasi negatif,relationship,admitted,
R011-TERM-0027,explanatory variable,variabel penjelas,study design,admitted,
R011-TERM-0028,response variable,variabel respons,study design,admitted,
R011-TERM-0029,independent variable,variabel bebas,study design synonym,admitted,
R011-TERM-0030,dependent variable,variabel terikat,study design synonym,admitted,
R011-TERM-0031,observational study,studi observasional,study design,admitted,
R011-TERM-0032,cohort,kohort,study design,admitted,
R011-TERM-0033,experiment,eksperimen,study design,admitted,
R011-TERM-0034,randomized experiment,eksperimen acak,study design,admitted,
