asset_id	role	source_path	bytes	sha256	producer_path	license_or_rights	publication_disposition	use_in_boundary
dieProp	main-section-Figure-dieProp	repo/ch_probability/figures/dieProp/dieProp.pdf	9525	9510fbd1d17b95ecff3a03fd200ffd560a8684a21ff2072012536366e8032446	repo/ch_probability/figures/dieProp/dieProp.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness; retain attribution	main prefix Figure dieProp
dieProp-R	adjacent-R-producer	repo/ch_probability/figures/dieProp/dieProp.R	907	8529f19e2b9a4d8c586c3b36e01d2eaaf016626cf5220f4b9cb991b756de6819		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer; do not claim package relicensing	main prefix Figure dieProp
disjointSets	main-section-Figure-disjointSets	repo/ch_probability/figures/disjointSets/disjointSets.pdf	5743	ed2fb35fdfdf2a3932bb7d39b0308bffef5dfd251fe3eab59fd1a353b6369d2b	repo/ch_probability/figures/disjointSets/disjointSets.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness; retain attribution	main prefix Figure disjointSets
disjointSets-R	adjacent-R-producer	repo/ch_probability/figures/disjointSets/disjointSets.R	1077	8b66f3f1ac4ab379667f2fe36e3f7b7cdac50684ef8a44569ad28500a29f16f5		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer; do not claim package relicensing	main prefix Figure disjointSets
cardsDiamondFaceVenn	main-section-Figure-cardsDiamondFaceVenn	repo/ch_probability/figures/cardsDiamondFaceVenn/cardsDiamondFaceVenn.pdf	12304	387830a1801b8b128bfe1d744cdcc872ec83e2235422969a5402a5de952047b3	repo/ch_probability/figures/cardsDiamondFaceVenn/cardsDiamondFaceVenn.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness; preserve numeric geometry	main prefix Figure cardsDiamondFaceVenn
cardsDiamondFaceVenn-R	adjacent-R-producer	repo/ch_probability/figures/cardsDiamondFaceVenn/cardsDiamondFaceVenn.R	1060	9db4d14539e7249b572fb19939fba1b03bfd925d6d1bdae863b6554fd88fe190		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer; do not claim package relicensing	main prefix Figure cardsDiamondFaceVenn
loans_app_type_home_venn	main-section-Figure-loans_app_type_home_venn	repo/ch_probability/figures/loans_app_type_home_venn/loans_app_type_home_venn.pdf	5351	b582e4e7004abb403bf88f7e8ea7c8f03555abff07cb8e8c04357fe60dbc776d	repo/ch_probability/figures/loans_app_type_home_venn/loans_app_type_home_venn.R	CC-BY-SA-3.0 repository figure; loans_full_schema is separately governed GPL-3 package data	localize labels only; retain aggregate counts and data provenance	main prefix Figure loans_app_type_home_venn
loans_app_type_home_venn-R	adjacent-R-producer	repo/ch_probability/figures/loans_app_type_home_venn/loans_app_type_home_venn.R	1011	6185b3ba3e56c7da3c7b78c0c80421ff4eb17dadef3bee5d41e1c2996973048c		OpenIntro R package GPL-3 build dependency; no package source redistribution in this boundary	retain exact producer and package provenance	main prefix Figure loans_app_type_home_venn
usHouseholdIncomeDistBar	main-section-Figure-usHouseholdIncomeDistBar	repo/ch_probability/figures/usHouseholdIncomeDistBar/usHouseholdIncomeDistBar.pdf	4383	19adc8aa2b6e37eb767b143550d9d8885d31b6efdf083b31f00cccc0560926e7	repo/ch_probability/figures/usHouseholdIncomeDistBar/usHouseholdIncomeDistBar.R	CC-BY-SA-3.0 repository figure; OpenIntro R package GPL-3 build dependency	localize with adjacent English witness	main prefix Figure usHouseholdIncomeDistBar
usHouseholdIncomeDistBar-R	adjacent-R-producer	repo/ch_probability/figures/usHouseholdIncomeDistBar/usHouseholdIncomeDistBar.R	365	309925858915316ef68f9ce87c0ac55daa0ffd02d98c3f7d8b09b89ac539354b		GPL-3 package calls remain dependency; producer expression under repository declaration	retain exact producer; exclude .Rhistory	main prefix Figure usHouseholdIncomeDistBar
