source_term	controlled_id_ID	accepted_synonyms	established_evidence	decision
normal distribution	distribusi normal	distribusi Gaussian	The existing Ansori et al. field witness directly heads Section 3.2.1 “Distribusi Normal”; the existing Astuti statistics witness heads Chapter 6 “DISTRIBUSI NORMAL”.	Use distribusi normal consistently.
normal curve	kurva normal	kurva distribusi normal	The existing Astuti witness repeatedly uses “kurva distribusi normal”.	Use the concise natural form kurva normal in running prose.
standard normal distribution	distribusi normal baku	distribusi normal standar	The established witnesses directly use both “distribusi normal baku” and “distribusi normal standar”; the Astuti witness systematically uses the former.	Use distribusi normal baku; retain standar as a witnessed synonym.
mean	rata-rata	rerata; mean	The admitted terminology view controls mean as rata-rata.	Retain rata-rata in exposition and tables; preserve the mathematical symbol mu.
standard deviation	simpangan baku	deviasi standar	The B012 controlled terminology and both established field witnesses support simpangan baku.	Retain simpangan baku.
parameter	parameter	-	The established probability witness repeatedly uses parameter in mathematical distribution contexts.	Retain parameter.
Z-score	skor-Z	nilai Z	The established witnesses directly use nilai Z for standardized normal values; skor-Z is the concise established edition form and preserves the source concept name.	Use skor-Z in exposition; preserve Z notation and accept nilai Z as a synonym.
percentile	persentil	-	The admitted terminology view controls percentile as persentil, and both established witnesses use persentil directly.	Retain persentil and express ordinals naturally as persentil ke-n.
tail	ekor	-	The admitted terminology view controls distribution-shape tail as ekor.	Use ekor, ekor bawah, and ekor atas.
tail area	luas ekor	luas daerah ekor	Derived transparently from the admitted tail=ekor and established luas-under-curve usage.	Use luas ekor; use luas daerah ekor where added clarity is helpful.
probability table	tabel peluang	tabel probabilitas	The established probability terminology controls probability as peluang; the witnesses use tables for normal probabilities.	Use tabel peluang.
test statistic	statistik uji	-	The established Indonesian statistics witness uses uji for inferential testing; the compound is mathematically standard and transparent.	Use statistik uji while preserving the English index key.
distribution of random variables	distribusi variabel acak	distribusi peubah acak	The admitted terminology view controls random variable as variabel acak, and the established edition already uses Distribusi variabel acak as the Chapter 4 public-answer heading.	Use Distribusi variabel acak for the Chapter 4 hierarchy title and the lower-case form in running prose.
