asset_id,role,path_kind,path,bytes,sha256,media_type,license,disposition,reader_visible_text,dependency_notes
fourBinomialModelsShowingApproxToNormal,four binomial hollow-histogram figure,authority,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/figures/fourBinomialModelsShowingApproxToNormal/fourBinomialModelsShowingApproxToNormal.pdf,5957,a8224e53f7961fd869932d050902cbb081e03b74746f4f839af6b466912a9736,application/pdf,CC BY-SA 3.0 Unported,include unchanged: visible content is numeric and mathematical only,n = 10; n = 30; n = 100; n = 300; numeric tick labels,Generated by adjacent R producer; translated caption and alt text remain in TeX.
fourBinomialModelsShowingApproxToNormal,four binomial hollow-histogram figure,live-byte-identical,repo/ch_distributions/figures/fourBinomialModelsShowingApproxToNormal/fourBinomialModelsShowingApproxToNormal.pdf,5957,a8224e53f7961fd869932d050902cbb081e03b74746f4f839af6b466912a9736,application/pdf,CC BY-SA 3.0 Unported,include unchanged: visible content is numeric and mathematical only,n = 10; n = 30; n = 100; n = 300; numeric tick labels,Live identity proved equal to authority. Generated by adjacent R producer; translated caption and alt text remain in TeX.
fourBinomialModelsShowingApproxToNormal,adjacent R producer,authority,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/figures/fourBinomialModelsShowingApproxToNormal/fourBinomialModelsShowingApproxToNormal.R,728,3c059f39a129735450b44215c52e31452ed30800a61f405f95701771499b110e,text/x-r-source,CC BY-SA 3.0 Unported; openintro package dependency separately GPL-3,retain byte-exact; no localization required,,Uses base dbinom/plot/axis/abline plus openintro COL and myPDF; no external data read.
fourBinomialModelsShowingApproxToNormal,adjacent R producer,live-byte-identical,repo/ch_distributions/figures/fourBinomialModelsShowingApproxToNormal/fourBinomialModelsShowingApproxToNormal.R,728,3c059f39a129735450b44215c52e31452ed30800a61f405f95701771499b110e,text/x-r-source,CC BY-SA 3.0 Unported; openintro package dependency separately GPL-3,retain byte-exact; no localization required,,Live identity proved equal to authority. Uses base dbinom/plot/axis/abline plus openintro COL and myPDF; no external data read.
normApproxToBinomFail,normal-approximation continuity-correction figure,authority,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/figures/normApproxToBinomFail/normApproxToBinomFail.pdf,29317,a9eb12774094b1e7e30a16ac69539b56af6d8a0bc803104637babf44b275af03,application/pdf,CC BY-SA 3.0 Unported,include unchanged: visible content is numeric and graphical only,"numeric tick labels 40, 50, 60, 70, 80",Generated by adjacent R producer; translated caption and alt text remain in TeX.
normApproxToBinomFail,normal-approximation continuity-correction figure,live-byte-identical,repo/ch_distributions/figures/normApproxToBinomFail/normApproxToBinomFail.pdf,29317,a9eb12774094b1e7e30a16ac69539b56af6d8a0bc803104637babf44b275af03,application/pdf,CC BY-SA 3.0 Unported,include unchanged: visible content is numeric and graphical only,"numeric tick labels 40, 50, 60, 70, 80",Live identity proved equal to authority. Generated by adjacent R producer; translated caption and alt text remain in TeX.
normApproxToBinomFail,adjacent R producer,authority,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/figures/normApproxToBinomFail/normApproxToBinomFail.R,761,a846b551d5441d4f05d3c29971a3c4ab0318e9e80fde921a66c415ad63f7669b,text/x-r-source,CC BY-SA 3.0 Unported; openintro package dependency separately GPL-3,retain byte-exact; no localization required,,Uses base dnorm/dbinom/plot/polygon/axis/abline plus openintro COL and myPDF; no external data read.
normApproxToBinomFail,adjacent R producer,live-byte-identical,repo/ch_distributions/figures/normApproxToBinomFail/normApproxToBinomFail.R,761,a846b551d5441d4f05d3c29971a3c4ab0318e9e80fde921a66c415ad63f7669b,text/x-r-source,CC BY-SA 3.0 Unported; openintro package dependency separately GPL-3,retain byte-exact; no localization required,,Live identity proved equal to authority. Uses base dnorm/dbinom/plot/polygon/axis/abline plus openintro COL and myPDF; no external data read.
dreidel,end-of-chapter exercise photograph,authority,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/figures/eoce/dreidel/dreidel.jpg,377280,4f86ab4609fa8e8e484095449da09fb344c88578de1ebc61b3e19e7eb3e30099,image/jpeg,CC BY 2.0,include unchanged with visible attribution and license link,Hebrew letters on the photographed objects; no English prose in pixels,"Photo by Staccabees, cropped; source flic.kr/p/7gLZTf; source TeX identifies CC BY 2.0."
dreidel,end-of-chapter exercise photograph,live-byte-identical,repo/ch_distributions/figures/eoce/dreidel/dreidel.jpg,377280,4f86ab4609fa8e8e484095449da09fb344c88578de1ebc61b3e19e7eb3e30099,image/jpeg,CC BY 2.0,include unchanged with visible attribution and license link,Hebrew letters on the photographed objects; no English prose in pixels,"Live identity proved equal to authority. Photo by Staccabees, cropped; source flic.kr/p/7gLZTf; source TeX identifies CC BY 2.0."
openintro-r-package,frozen build dependency archive,external authority,authority/external/r-packages/openintro-48793d9645e0da033daaca1c1a19a051533d79d2/openintro-48793d9645e0da033daaca1c1a19a051533d79d2.tar.gz,21248412,e8b9526364e70ca59d945fc83eadfd1d25eb784e3190429637f96bfe72b6dc99,application/gzip,GPL-3,retain as build authority; do not bundle as book content,,Supplies COL palette data and myPDF helper used by both R producers.
openintro-r-package,frozen build dependency manifest,external authority,authority/external/r-packages/openintro-48793d9645e0da033daaca1c1a19a051533d79d2/AUTHORITY_MANIFEST.json,2572,c4b980f73c19e51c09b3843330a3fc4121dcfa0e74c91cf068ff4827f40da9f1,application/json,metadata,retain,,"Pins package commit, archive identity, license, and internal COL member."
