source_term	preferred_id-ID	accepted_synonyms	evidence	use_in_B016
binomial distribution	distribusi binomial	-	The preserved Indonesian probability witness uses the heading “Distribusi Binomial” and six occurrences of the phrase.	Use distribusi binomial in headings and prose; retain the English index key.
binomial model	model binomial	-	Transparent extension of the field-witness control distribusi binomial and the admitted model terminology.	Use model binomial for the statistical model; preserve label binomialModel.
binomial experiment	eksperimen binomial	percobaan binomial	The field witness defines “eksperimen binomial” and describes it as n identical independent trials.	Use eksperimen binomial when the source says experiment.
binomial random variable	variabel acak binomial	peubah acak binomial	The admitted edition fixes random variable as variabel acak; the field witness uses variabel random binomial.	Use variabel acak binomial.
Bernoulli trial	percobaan Bernoulli	trial Bernoulli	B015 controlled terminology and the same-field witness.	Reuse the admitted B015 control.
trial	percobaan	eksperimen	The field witness repeatedly uses percobaan; reserve eksperimen for experiment.	Use percobaan.
independent trials	percobaan yang saling independen	percobaan saling bebas	The admitted edition fixes independent as saling independen; the field witness uses saling bebas.	Use percobaan yang saling independen.
fixed number of trials	jumlah percobaan yang tetap	banyak percobaan tetap	Natural Indonesian rendering consistent with percobaan.	Use jumlah percobaan yang tetap.
success	sukses	berhasil; keberhasilan	The field witness explicitly labels binomial outcomes sukses and gagal.	Use sukses as the technical outcome label.
failure	gagal	kegagalan	The field witness explicitly labels binomial outcomes sukses and gagal.	Use gagal as the technical outcome label.
probability of success	peluang sukses	peluang keberhasilan	B015 admitted terminology and the field witness.	Use peluang sukses; preserve p.
probability of failure	peluang gagal	peluang kegagalan	Parallel to the admitted peluang sukses control and field-witness usage.	Use peluang gagal; preserve 1-p or q exactly.
factorial	faktorial	-	The field witness uses faktorial and standard Indonesian mathematical usage is unambiguous.	Use faktorial; preserve the exclamation-mark notation.
n choose k	n pilih k	kombinasi n ambil k	Reader-facing Indonesian mathematical reading; the field witness defines combinations as selections without regard to order.	State that the quantity is read “n pilih k”; preserve every binomial-coefficient formula and alternative notation.
combination	kombinasi	-	The field witness has a dedicated “Kombinasi” definition and repeated usage.	Use kombinasi.
permutation	permutasi	-	Established Indonesian mathematical term in the same field witness.	Use permutasi.
normal approximation to the binomial distribution	pendekatan normal terhadap distribusi binomial	aproksimasi normal terhadap distribusi binomial	Pendekatan is the clearer general-reader term; aproksimasi remains an accepted academic synonym.	Use pendekatan normal terhadap distribusi binomial in headings and prose.
exact binomial probability	peluang binomial eksak	probabilitas binomial eksak	The admitted edition fixes probability as peluang; eksak distinguishes the formula from the approximation.	Use peluang binomial eksak.
sample size	ukuran sampel	-	Admitted statistics terminology.	Use ukuran sampel; preserve n.
mean	rata-rata	rerata; rataan	Admitted B014/B015 terminology.	Use rata-rata; preserve mu.
variance	varians	variansi	Admitted terminology.	Use varians; preserve sigma squared.
standard deviation	simpangan baku	deviasi standar	Admitted terminology.	Use simpangan baku; preserve sigma.
right skewed	menceng kanan	menceng ke kanan	Admitted distribution-shape terminology.	Use menceng kanan.
bell-shaped distribution	distribusi berbentuk lonceng	kurva berbentuk lonceng	Transparent established statistical description.	Use distribusi berbentuk lonceng.
cutoff value	nilai batas	titik batas	Natural Indonesian statistical phrasing.	Use nilai batas; preserve every numerical endpoint.
range of counts	rentang banyaknya hasil	rentang cacah	Reader-friendly rendering in the binomial context.	Specify “rentang banyaknya sukses” when the counted outcome is success.
condition	syarat	kondisi	Syarat is the precise term for a mathematical applicability requirement.	Use syarat for binomial and normal-approximation applicability checks.
