scope,role,disposition,path,bytes,sha256,line_start_inclusive,line_end_inclusive,license,notes
authority,authority metadata,retain,authority/UPSTREAM_AUTHORITY.json,912,3e4e2b4921d32d62e3b269e2a7f258c63d1d6fcbed2a6ff1cededfc35a5bbd2d,,,metadata,"Pinned repository, branch, commit, archive, and calculated tree evidence."
authority,book source and rights license,retain and apply,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/LICENSE.md,2612,9bd77ff3e58e0b7f1331824b8195d4cf588851a6461cc3230d12410da7935223,,,CC BY-SA 3.0 Unported,"Includes derivative title, attribution, branding, and third-party figure obligations."
authority,build root,retain as global build dependency,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/main.tex,4155,1ed8952651f4b21e7175d82b4c1fda780aee5ec78f88143b97c692477ee2750b,,,CC BY-SA 3.0 Unported,Resolves chapter and appendix inclusion order.
authority,main section source,retain; translate only the frozen 1268-1926 witness in B016,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/TeX/ch_distributions.tex,91188,71e4985a1bf31e9dd6897ec2bd246b3b2f8cd62ab55524a5b1bfe791e613a3a9,1268,1926,CC BY-SA 3.0 Unported,Full source contains prerequisite macros at 979-982 and next cursor at 1927.
authority,end-of-chapter exercises 17-26,retain and translate all ten exercises,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_distributions/TeX/binomial_distribution.tex,8716,ac032b8749237e2fc3911cb1d007d5555a86d47ecba9ea9937e8f502f50348ff,1,211,CC BY-SA 3.0 Unported; embedded dreidel photo separately CC BY 2.0,"Ten exercises, forty parts, one embedded photo, three bibliography citations."
authority,public odd exercise answers,"retain; translate only 17, 19, 21, 23, and 25",authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/extraTeX/eoceSolutions/eoceSolutions.tex,106045,6c4e01376db4c023cc7b3f9949490e57220ef1cb831c580da71efde6ce723268,707,748,CC BY-SA 3.0 Unported,The bounded public-answer witness is authority lines 707-748.
authority,data appendix,retain; translate exactly three binomialModel entries,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/extraTeX/data/data.tex,26134,6456ef7e9d0f855dbba47f9f62f0f10ae731d4f7cd558399848419d3cbdfd88b,277,294,CC BY-SA 3.0 Unported,"Entries are authority lines 277-280, 281-286, and 287-294."
authority,exercise bibliography,retain cited entries and redirect IDs,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/eoce.bib,30361,42191d6cb80b562e3bb769388759cba25b1798ae416536ebfdcf73de0770217a,,,CC BY-SA 3.0 Unported compilation metadata,"Relevant entries: webpage:alcohol, webpage:spiders, bostonchildrenshospital:chickenpox."
authority,figure and redirect macro resolver,retain as global build dependency,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/extraTeX/style/style.tex,15415,075101ea8256a7e850c1f3b101100204feb5e4c8a5f0914138bf468d6a895901,,,CC BY-SA 3.0 Unported,Relevant resolver lines: oiRedirect 205; Figure/Figures 239-242.
authority,external cross-reference source: variability,retain; do not translate in B016,authority/upstream/openintro-statistics-fee25091fb24e89c36296fd67c48c1fcf7a93b6e/ch_summarizing_data/TeX/ch_summarizing_data.tex,114376,00fb044707824539b57a27f6e258165c62c4f29769679305641214c6d4552f51,651,651,CC BY-SA 3.0 Unported,Defines \label{variability} at authority line 651.
