component_id,path_or_scope,role,license_or_status,attribution,publication_disposition,evidence
R011-RIGHTS-TEXT,authored textbook text,text,CC BY-SA 3.0 Unported,"Original authors David M. Diez; Mine Çetinkaya-Rundel; Christopher D. Barr",include with attribution/share-alike,LICENSE.md and official license page
R011-RIGHTS-DERIVATIVE,Indonesian localization,translation,CC BY-SA 3.0 Unported,Derivative attribution plus change notice,include,derivative copyright page
R011-RIGHTS-STYLE,fullminipage.sty,code,GPL-3.0-only,retain upstream notice,include separately governed,file header
R011-RIGHTS-EAR,ch_intro_to_data/figures/eoce/migraine_and_acupuncture_intro/earacupuncture.pdf,third-party figure,unresolved,Allais et al. paper figure,exclude,caption plus absence of repository file-level grant
R011-RIGHTS-EAR-SUBSTITUTE,ch_intro_to_data/TeX/case_study_using_stents_to_prevent_strokes.tex,textual replacement,CC BY-SA 3.0 Unported,Independently written Indonesian description,include,rights-safe replacement recorded in R011-B001 receipt
R011-RIGHTS-BRAND,OpenIntro logo cover and marks,branding,not licensed for derivative branding,source-identifying nominative attribution only,exclude,LICENSE.md and official license page
R011-RIGHTS-RPKG,OpenIntro R package at commit 48793d9645e0da033daaca1c1a19a051533d79d2,code and data-extraction closure,GPL-3,upstream package authors and FAA source citation retained,authority archive retained for deterministic airport-figure regeneration; localized static plot included,authority/external/r-packages/openintro-48793d9645e0da033daaca1c1a19a051533d79d2/AUTHORITY_MANIFEST.json and archive SHA-256 e8b9526364e70ca59d945fc83eadfd1d25eb784e3190429637f96bfe72b6dc99
R011-RIGHTS-SEATTLEPETS,Seattle Pet Licenses data used by seattle_pet_names.pdf,data/public factual records,Public Domain,City of Seattle Department of Finance and Administrative Services,include derived aggregate plot with City of Seattle source credit,official Socrata metadata https://data.seattle.gov/api/views/jguv-t9rb declares licenseId PUBLIC_DOMAIN and attribution City of Seattle
R011-RIGHTS-TWEMOJI,Dog and cat emoji XObjects embedded in seattle_pet_names.pdf,emoji graphics,CC BY 4.0,Twemoji graphics contributors,include unchanged authority XObjects with Twemoji attribution,producer uses ggimage geom_emoji codes 1f436 and 1f431; ggimage resolves these through Twemoji; https://github.com/twitter/twemoji/blob/master/LICENSE-GRAPHICS
R011-RIGHTS-GGIMAGE,ggimage producer dependency used by seattle_pet_names.R,build dependency code,Artistic-2.0,Guangchuang Yu and ggimage contributors,do not bundle dependency code; retain dependency provenance,CRAN package metadata and ggimage geom_emoji source
